! X/mm/t/t/tY/mm/t/t/tZ/mm
             -90	              -8	 2.572429477625e-005
           -89.1	              -8	 3.035581661560e-005
           -88.2	              -8	 3.607870704844e-005
           -87.3	              -8	 4.217815301257e-005
           -86.4	              -8	 4.736663361158e-005
           -85.5	              -8	 5.097939786798e-005
           -84.6	              -8	 5.343638609879e-005
           -83.7	              -8	 5.493766059480e-005
           -82.8	              -8	 5.558189941348e-005
           -81.9	              -8	 5.444993731893e-005
             -81	              -8	 5.247179950440e-005
           -80.1	              -8	 4.984081551171e-005
           -79.2	              -8	 4.629001884752e-005
           -78.3	              -8	 4.238366483281e-005
           -77.4	              -8	 4.009628902653e-005
           -76.5	              -8	 4.014032481385e-005
           -75.6	              -8	 4.192526959577e-005
           -74.7	              -8	 4.426033861234e-005
           -73.8	              -8	 4.616869323268e-005
           -72.9	              -8	 4.697384495987e-005
             -72	              -8	 4.652775845388e-005
           -71.1	              -8	 4.576344579653e-005
           -70.2	              -8	 4.721970229491e-005
           -69.3	              -8	 5.002381038188e-005
           -68.4	              -8	 5.400847844613e-005
           -67.5	              -8	 5.761417659996e-005
           -66.6	              -8	 5.954537219604e-005
           -65.7	              -8	 5.770104605163e-005
           -64.8	              -8	 5.375261522318e-005
           -63.9	              -8	 5.069116426614e-005
             -63	              -8	 4.831422282520e-005
           -62.1	              -8	 4.442335655442e-005
           -61.2	              -8	 3.972086940694e-005
           -60.3	              -8	 3.450752015645e-005
           -59.4	              -8	 2.943205341396e-005
           -58.5	              -8	 2.397823251828e-005
           -57.6	              -8	 1.937932512860e-005
           -56.7	              -8	 1.789725414163e-005
           -55.8	              -8	 1.872169047063e-005
           -54.9	              -8	 1.853706943899e-005
             -54	              -8	 1.655336213423e-005
           -53.1	              -8	 1.345633184781e-005
           -52.2	              -8	 1.249122498095e-005
           -51.3	              -8	 1.342151071116e-005
           -50.4	              -8	 1.385141526208e-005
           -49.5	              -8	 1.441363105450e-005
           -48.6	              -8	 1.623194652632e-005
           -47.7	              -8	 1.776927550988e-005
           -46.8	              -8	 1.861887037726e-005
           -45.9	              -8	 2.003054645896e-005
             -45	              -8	 2.376926365767e-005
           -44.1	              -8	 2.762317441122e-005
           -43.2	              -8	 2.912798728624e-005
           -42.3	              -8	 2.851270458333e-005
           -41.4	              -8	 2.656769193494e-005
           -40.5	              -8	 2.513451804774e-005
           -39.6	              -8	 2.380223067272e-005
           -38.7	              -8	 2.189002659649e-005
           -37.8	              -8	 1.995544128319e-005
           -36.9	              -8	 1.881648742893e-005
             -36	              -8	 1.683187381781e-005
           -35.1	              -8	 1.517237083823e-005
           -34.2	              -8	 1.362614228396e-005
           -33.3	              -8	 1.525218959742e-005
           -32.4	              -8	 1.608352907988e-005
           -31.5	              -8	 1.536203039787e-005
           -30.6	              -8	 1.558935645101e-005
           -29.7	              -8	 1.564306633676e-005
           -28.8	              -8	 1.506032830123e-005
           -27.9	              -8	 1.460479203508e-005
             -27	              -8	 1.504025254698e-005
           -26.1	              -8	 1.755403981958e-005
           -25.2	              -8	 1.915930501061e-005
           -24.3	              -8	 2.037578905343e-005
           -23.4	              -8	 2.209579560139e-005
           -22.5	              -8	 2.309733407643e-005
           -21.6	              -8	 2.365292296529e-005
           -20.7	              -8	 2.268888923301e-005
           -19.8	              -8	 2.166909797745e-005
           -18.9	              -8	 2.029480251314e-005
             -18	              -8	 1.829275697948e-005
           -17.1	              -8	 1.742561357543e-005
           -16.2	              -8	 1.881772797153e-005
           -15.3	              -8	 2.222914191418e-005
           -14.4	              -8	 2.639055760449e-005
           -13.5	              -8	 2.954341224392e-005
           -12.6	              -8	 3.216762271586e-005
           -11.7	              -8	 3.506855339972e-005
           -10.8	              -8	 3.664682523885e-005
            -9.9	              -8	 3.601734161365e-005
              -9	              -8	 3.253571975012e-005
            -8.1	              -8	 2.585572530064e-005
            -7.2	              -8	 1.792439958845e-005
            -6.3	              -8	 9.381208033363e-006
            -5.4	              -8	 2.354059107446e-006
            -4.5	              -8	-1.093440055899e-006
            -3.6	              -8	-5.057035836077e-007
            -2.7	              -8	 1.844897461111e-006
            -1.8	              -8	 4.559048017290e-006
            -0.9	              -8	 6.297138159106e-006
               0	              -8	 7.627973114463e-006
             0.9	              -8	 8.327406157921e-006
             1.8	              -8	 7.519618173870e-006
             2.7	              -8	 6.398378050705e-006
             3.6	              -8	 5.989464508489e-006
             4.5	              -8	 6.679612898938e-006
             5.4	              -8	 7.981306180010e-006
             6.3	              -8	 9.113896177502e-006
             7.2	              -8	 1.024653434215e-005
             8.1	              -8	 1.078657236370e-005
               9	              -8	 8.999293929739e-006
             9.9	              -8	 5.132639370234e-006
            10.8	              -8	 1.486494874929e-008
            11.7	              -8	-3.940956324972e-006
            12.6	              -8	-6.928392736957e-006
            13.5	              -8	-7.923654470330e-006
            14.4	              -8	-6.633057679047e-006
            15.3	              -8	-4.657140757022e-006
            16.2	              -8	-2.912098894206e-006
            17.1	              -8	-2.123742542678e-006
              18	              -8	 2.724426819074e-007
            18.9	              -8	 3.340495310089e-006
            19.8	              -8	 4.362535162800e-006
            20.7	              -8	 3.305441503974e-006
            21.6	              -8	 2.175959964852e-006
            22.5	              -8	 1.756795077468e-008
            23.4	              -8	-3.108815478482e-006
            24.3	              -8	-7.764187151913e-006
            25.2	              -8	-1.158848294834e-005
            26.1	              -8	-1.510524317042e-005
              27	              -8	-1.943811139414e-005
            27.9	              -8	-2.318133751810e-005
            28.8	              -8	-2.372266710963e-005
            29.7	              -8	-2.060579559424e-005
            30.6	              -8	-1.598136092934e-005
